# File with transport data and reaction rates for an air chemistry.
# Transport data calculated using the offline BOLSIG+ solver with data from the Phelps database (N2, O2).
# The reactions are primarily from:
# Kossyi:1992 (https://doi.org/10.1088/0963-0252/1/3/011)
# Gordiets:1995 (https://doi.org/10.1109/27.467998) 
# Aleksandrov:1999 (https://doi.org/10.1088/0963-0252/8/2/309)
# Fresnet:2002 (https://doi.org/10.1088/0963-0252/11/2/305)
# Tochikubo:2002 (https://doi.org/10/d9tq56)
# Atkinson:2004 (https://doi.org/10.5194/acp-4-1461-2004)
# Florescu:2006 (https://doi.org/10.1016/j.physrep.2006.04.002)
# Gordillo:2008 (https://doi.org/10.1088/0022-3727/41/23/234016)
# Popov:2011 (https://doi.org/10.1088/0022-3727/44/28/285201)
# Panchesnyi:2013 (https://doi.org/10.1088/0022-3727/46/15/155201)
# Note that e + NO2 -> NO2- and N(^2D) + NO -> N2O have actually three-body nature

reaction_list
------------------
# Rotational excitation
e + N2 -> e + N2*(J),field_table,C2 N2 Excitation 0.020 eV
e + O2 -> e + O2*(J),field_table,C30 O2 Excitation 0.020 eV
# Vibrational excitation
e + N2 -> e + N2*(v1),field_table,C3 N2 Excitation 0.29 eV
e + N2 -> e + N2*(v1),field_table,C4 N2 Excitation 0.29 eV
e + N2 -> e + N2*(v2),field_table,C5 N2 Excitation 0.59 eV
e + N2 -> e + N2*(v3),field_table,C6 N2 Excitation 0.88 eV
e + N2 -> e + N2*(v4),field_table,C7 N2 Excitation 1.17 eV
e + N2 -> e + N2*(v5),field_table,C8 N2 Excitation 1.47 eV
e + N2 -> e + N2*(v6),field_table,C9 N2 Excitation 1.76 eV
e + N2 -> e + N2*(v7),field_table,C10 N2 Excitation 2.06 eV
e + N2 -> e + N2*(v8),field_table,C11 N2 Excitation 2.35 eV
e + O2 -> e + O2*(v1),field_table,C31 O2 Excitation 0.19 eV
e + O2 -> e + O2*(v1),field_table,C32 O2 Excitation 0.19 eV
e + O2 -> e + O2*(v2),field_table,C33 O2 Excitation 0.38 eV
e + O2 -> e + O2*(v2),field_table,C34 O2 Excitation 0.38 eV
e + O2 -> e + O2*(v3),field_table,C35 O2 Excitation 0.57 eV
e + O2 -> e + O2*(v4),field_table,C36 O2 Excitation 0.75 eV
# Electronic excitation
e + N2 -> e + N2*(A),field_table,C12 N2 Excitation 6.17 eV
e + N2 -> e + N2*(A),field_table,C13 N2 Excitation 7.00 eV
e + N2 -> e + N2*(B),field_table,C14 N2 Excitation 7.35 eV
e + N2 -> e + N2*(B),field_table,C15 N2 Excitation 7.36 eV
e + N2 -> e + N2*(B),field_table,C16 N2 Excitation 7.80 eV
e + N2 -> e + N2*(B),field_table,C17 N2 Excitation 8.16 eV
e + N2 -> e + N2*(a),field_table,C18 N2 Excitation 8.40 eV
e + N2 -> e + N2*(a),field_table,C19 N2 Excitation 8.55 eV
e + N2 -> e + N2*(a),field_table,C20 N2 Excitation 8.89 eV
e + N2 -> e + N2*(C),field_table,C21 N2 Excitation 11.03 eV
e + N2 -> e + N2*(E),field_table,C22 N2 Excitation 11.87 eV
e + N2 -> e + N2*(E),field_table,C23 N2 Excitation 12.25 eV
e + O2 -> e + O2*(a),field_table,C37 O2 Excitation 0.98 eV
e + O2 -> e + O2*(b),field_table,C38 O2 Excitation 1.63 eV
e + O2 -> e + O2*(A),field_table,C39 O2 Excitation 4.50 eV
# Dissociation
e + N2 -> e + N(^4S) + N(^2D),field_table,C24 N2 Excitation 13.00 eV
e + O2 -> e + O(^3P) + O(^3P),field_table,C40 O2 Excitation 6.00 eV
e + O2 -> e + O(^3P) + O(^1D),field_table,C41 O2 Excitation 8.40 eV
e + O2 -> e + O(^3P) + O(^1S),field_table,C42 O2 Excitation 9.97 eV
# Ionization
e + N2 -> e + e + N2+,field_table,C25 N2 Ionization 15.60 eV
e + N2 -> e + e + N2+,field_table,C26 N2 Ionization 18.80 eV
e + O2 -> e + e + O2+,field_table,C43 O2 Ionization 12.06 eV
# Attachment
e + O2 + O2 -> O2- + O2,field_table,C27 O2 Attachment
e + O2 -> O- + O(^3P),field_table,C28 O2 Attachment
4.028999999999999915e+00 0.000000000000000000e+00
4.123000000000000220e+00 0.000000000000000000e+00
4.219000000000000306e+00 0.000000000000000000e+00
4.317999999999999616e+00 0.000000000000000000e+00
4.418999999999999595e+00 0.000000000000000000e+00
4.522000000000000242e+00 0.000000000000000000e+00
4.626999999999999780e+00 0.000000000000000000e+00
4.735000000000000320e+00 0.000000000000000000e+00
4.846000000000000085e+00 0.000000000000000000e+00
4.958999999999999631e+00 0.000000000000000000e+00
5.075000000000000178e+00 0.000000000000000000e+00
5.192999999999999616e+00 0.000000000000000000e+00
5.314000000000000057e+00 0.000000000000000000e+00
5.437999999999999723e+00 0.000000000000000000e+00
5.565000000000000391e+00 0.000000000000000000e+00
5.695000000000000284e+00 0.000000000000000000e+00
5.828000000000000291e+00 0.000000000000000000e+00
5.964000000000000412e+00 0.000000000000000000e+00
6.102999999999999758e+00 0.000000000000000000e+00
6.246000000000000441e+00 0.000000000000000000e+00
6.392000000000000348e+00 0.000000000000000000e+00
6.541000000000000369e+00 0.000000000000000000e+00
6.692999999999999616e+00 0.000000000000000000e+00
6.849999999999999645e+00 0.000000000000000000e+00
7.009999999999999787e+00 0.000000000000000000e+00
7.173000000000000043e+00 0.000000000000000000e+00
7.341000000000000192e+00 0.000000000000000000e+00
7.511999999999999567e+00 0.000000000000000000e+00
7.687000000000000277e+00 0.000000000000000000e+00
7.866999999999999993e+00 0.000000000000000000e+00
8.050000000000000711e+00 0.000000000000000000e+00
8.237999999999999545e+00 0.000000000000000000e+00
8.429999999999999716e+00 0.000000000000000000e+00
8.627000000000000668e+00 0.000000000000000000e+00
8.829000000000000625e+00 0.000000000000000000e+00
9.035000000000000142e+00 0.000000000000000000e+00
9.246000000000000441e+00 0.000000000000000000e+00
9.461000000000000298e+00 0.000000000000000000e+00
9.682000000000000384e+00 0.000000000000000000e+00
9.907999999999999474e+00 0.000000000000000000e+00
1.014000000000000057e+01 0.000000000000000000e+00
1.038000000000000078e+01 0.000000000000000000e+00
1.061999999999999922e+01 0.000000000000000000e+00
1.086999999999999922e+01 0.000000000000000000e+00
1.111999999999999922e+01 0.000000000000000000e+00
1.138000000000000078e+01 0.000000000000000000e+00
1.164000000000000057e+01 0.000000000000000000e+00
1.191999999999999993e+01 0.000000000000000000e+00
1.218999999999999950e+01 0.000000000000000000e+00
1.248000000000000043e+01 0.000000000000000000e+00
1.276999999999999957e+01 0.000000000000000000e+00
1.307000000000000028e+01 0.000000000000000000e+00
1.336999999999999922e+01 0.000000000000000000e+00
1.368999999999999950e+01 0.000000000000000000e+00
1.400999999999999979e+01 0.000000000000000000e+00
1.433000000000000007e+01 0.000000000000000000e+00
1.466999999999999993e+01 0.000000000000000000e+00
1.500999999999999979e+01 0.000000000000000000e+00
1.535999999999999943e+01 0.000000000000000000e+00
1.572000000000000064e+01 0.000000000000000000e+00
1.607999999999999829e+01 0.000000000000000000e+00
1.646000000000000085e+01 0.000000000000000000e+00
1.683999999999999986e+01 0.000000000000000000e+00
1.723999999999999844e+01 0.000000000000000000e+00
1.764000000000000057e+01 0.000000000000000000e+00
1.805000000000000071e+01 0.000000000000000000e+00
1.846999999999999886e+01 0.000000000000000000e+00
1.889999999999999858e+01 0.000000000000000000e+00
1.935000000000000142e+01 0.000000000000000000e+00
1.980000000000000071e+01 0.000000000000000000e+00
2.026000000000000156e+01 7.470000000000000138e-34
2.073000000000000043e+01 1.363999999999999945e-33
2.121999999999999886e+01 2.454999999999999888e-33
2.171000000000000085e+01 4.358000000000000056e-33
2.221999999999999886e+01 7.632000000000000635e-33
2.273999999999999844e+01 1.318999999999999898e-32
2.326999999999999957e+01 2.250000000000000023e-32
2.380999999999999872e+01 3.789000000000000029e-32
2.437000000000000099e+01 1.089000000000000001e-31
2.492999999999999972e+01 1.824000000000000080e-31
2.551999999999999957e+01 3.017999999999999968e-31
2.610999999999999943e+01 4.939999999999999606e-31
2.671999999999999886e+01 7.998000000000000260e-31
2.733999999999999986e+01 1.280999999999999925e-30
2.798000000000000043e+01 2.030999999999999987e-30
2.864000000000000057e+01 3.186999999999999901e-30
2.930000000000000071e+01 4.950999999999999740e-30
2.998999999999999844e+01 7.617999999999999738e-30
3.069000000000000128e+01 1.160999999999999985e-29
3.139999999999999858e+01 1.752999999999999950e-29
3.214000000000000057e+01 2.669000000000000194e-29
3.289000000000000057e+01 3.965999999999999938e-29
3.365999999999999659e+01 5.843999999999999478e-29
3.443999999999999773e+01 8.543000000000000516e-29
3.524000000000000199e+01 1.238999999999999907e-28
3.607000000000000028e+01 1.782999999999999952e-28
3.690999999999999659e+01 2.547000000000000128e-28
3.777000000000000313e+01 3.612999999999999937e-28
3.864999999999999858e+01 5.088000000000000424e-28
3.954999999999999716e+01 7.116999999999999780e-28
4.047999999999999687e+01 9.943000000000000632e-28
4.142000000000000171e+01 1.372999999999999929e-27
4.239000000000000057e+01 1.884000000000000090e-27
4.338000000000000256e+01 2.570999999999999996e-27
4.439000000000000057e+01 3.487000000000000229e-27
4.542999999999999972e+01 4.702999999999999972e-27
4.649000000000000199e+01 6.308999999999999758e-27
4.757000000000000028e+01 8.419999999999999693e-27
4.867999999999999972e+01 1.117999999999999934e-26
4.982000000000000028e+01 1.476999999999999893e-26
5.097999999999999687e+01 1.942000000000000012e-26
5.217000000000000171e+01 2.549000000000000072e-26
5.339000000000000057e+01 3.321000000000000240e-26
5.464000000000000057e+01 4.305999999999999747e-26
5.590999999999999659e+01 5.560999999999999637e-26
5.721999999999999886e+01 7.150999999999999727e-26
5.854999999999999716e+01 9.157999999999999555e-26
5.992000000000000171e+01 1.167999999999999907e-25
6.132000000000000028e+01 1.483999999999999931e-25
6.275000000000000000e+01 1.878999999999999960e-25
6.420999999999999375e+01 2.369000000000000180e-25
6.570999999999999375e+01 2.976999999999999836e-25
6.723999999999999488e+01 3.726000000000000011e-25
6.881000000000000227e+01 4.645999999999999702e-25
7.042000000000000171e+01 5.772000000000000188e-25
7.206000000000000227e+01 7.145999999999999971e-25
7.375000000000000000e+01 8.816000000000000753e-25
7.546999999999999886e+01 1.084000000000000053e-24
7.723000000000000398e+01 1.327999999999999913e-24
7.903000000000000114e+01 1.620000000000000005e-24
8.087999999999999545e+01 1.971000000000000113e-24
8.276000000000000512e+01 2.391000000000000026e-24
8.468999999999999773e+01 2.887999999999999905e-24
8.667000000000000171e+01 3.476999999999999890e-24
8.868999999999999773e+01 4.170999999999999762e-24
9.076000000000000512e+01 4.986999999999999655e-24
9.287999999999999545e+01 5.942999999999999887e-24
9.504999999999999716e+01 7.056999999999999305e-24
9.726999999999999602e+01 8.353000000000000043e-24
9.954000000000000625e+01 9.854999999999999831e-24
1.019000000000000057e+02 1.159000000000000061e-23
1.042000000000000028e+02 1.359000000000000083e-23
1.067000000000000028e+02 1.588000000000000059e-23
1.092000000000000028e+02 1.850000000000000125e-23
1.117000000000000028e+02 2.147999999999999943e-23
1.142999999999999972e+02 2.485999999999999941e-23
1.170000000000000000e+02 2.868999999999999848e-23
1.197000000000000028e+02 3.301999999999999981e-23
1.225000000000000000e+02 3.788999999999999888e-23
1.254000000000000057e+02 4.334999999999999885e-23
1.283000000000000114e+02 4.945999999999999882e-23
1.313000000000000114e+02 5.630000000000000149e-23
1.344000000000000057e+02 6.390000000000000054e-23
1.375000000000000000e+02 7.233999999999999869e-23
1.406999999999999886e+02 8.169000000000000270e-23
1.440000000000000000e+02 9.203000000000000355e-23
1.473000000000000114e+02 1.033999999999999967e-22
1.508000000000000114e+02 1.160000000000000066e-22
1.543000000000000114e+02 1.297000000000000038e-22
1.579000000000000057e+02 1.447999999999999956e-22
1.615999999999999943e+02 1.613000000000000054e-22
1.654000000000000057e+02 1.792999999999999927e-22
1.691999999999999886e+02 1.989000000000000106e-22
1.731999999999999886e+02 2.201000000000000123e-22
1.771999999999999886e+02 2.432000000000000167e-22
1.813000000000000114e+02 2.683000000000000066e-22
1.855999999999999943e+02 2.953000000000000227e-22
1.899000000000000057e+02 3.244999999999999900e-22
1.943000000000000114e+02 3.560000000000000088e-22
1.989000000000000057e+02 3.898999999999999915e-22
2.035000000000000000e+02 4.262999999999999913e-22
2.083000000000000114e+02 4.653000000000000145e-22
2.130999999999999943e+02 5.072000000000000333e-22
2.180999999999999943e+02 5.519999999999999535e-22
2.231999999999999886e+02 5.998999999999999758e-22
2.284000000000000057e+02 6.510000000000000126e-22
2.336999999999999886e+02 7.053999999999999761e-22
2.391999999999999886e+02 7.633999999999999794e-22
2.448000000000000114e+02 8.250000000000000225e-22
2.505000000000000000e+02 8.904999999999999362e-22
2.563000000000000114e+02 9.597999999999999964e-22
2.623000000000000114e+02 1.032999999999999927e-21
2.683999999999999773e+02 1.110999999999999974e-21
2.746999999999999886e+02 1.193000000000000085e-21
2.811000000000000227e+02 1.279999999999999949e-21
2.876999999999999886e+02 1.371999999999999942e-21
2.943999999999999773e+02 1.467999999999999999e-21
3.013000000000000114e+02 1.570000000000000060e-21
3.083000000000000114e+02 1.675999999999999998e-21
3.155000000000000000e+02 1.787999999999999939e-21
3.228999999999999773e+02 1.905999999999999884e-21
3.303999999999999773e+02 2.029000000000000146e-21
3.381000000000000227e+02 2.158000000000000035e-21
3.460000000000000000e+02 2.292999999999999927e-21
3.541000000000000227e+02 2.433999999999999823e-21
3.623000000000000114e+02 2.582000000000000163e-21
3.708000000000000114e+02 2.736000000000000129e-21
3.795000000000000000e+02 2.896000000000000099e-21
3.883000000000000114e+02 3.063000000000000136e-21
3.973999999999999773e+02 3.236000000000000177e-21
4.066000000000000227e+02 3.417000000000000348e-21
4.161000000000000227e+02 3.605000000000000209e-21
4.258999999999999773e+02 3.798999999999999698e-21
4.358000000000000114e+02 4.000999999999999693e-21
4.460000000000000000e+02 4.210000000000000132e-21
4.563999999999999773e+02 4.427000000000000324e-21
4.670000000000000000e+02 4.651000000000000207e-21
4.778999999999999773e+02 4.882999999999999844e-21
4.891000000000000227e+02 5.122999999999999987e-21
5.005000000000000000e+02 5.369999999999999821e-21
5.122000000000000455e+02 5.625000000000000162e-21
5.241000000000000227e+02 5.888000000000000256e-21
5.363999999999999773e+02 6.159000000000000104e-21
5.488999999999999773e+02 6.436999999999999643e-21
5.617000000000000455e+02 6.723999999999999752e-21
5.747999999999999545e+02 7.018999999999999615e-21
5.882000000000000455e+02 7.321999999999999984e-21
6.018999999999999773e+02 7.632999999999999355e-21
6.160000000000000000e+02 7.952000000000000736e-21
6.303999999999999773e+02 8.278999999999999615e-21
6.451000000000000227e+02 8.614999999999999816e-21
6.601000000000000227e+02 8.957999999999999707e-21
6.756000000000000227e+02 9.309999999999999416e-21
6.912999999999999545e+02 9.669999999999999631e-21
7.075000000000000000e+02 1.004000000000000048e-20
7.240000000000000000e+02 1.040999999999999982e-20
7.408999999999999773e+02 1.080000000000000043e-20
7.582000000000000455e+02 1.118999999999999954e-20
7.758999999999999773e+02 1.158999999999999927e-20
7.940000000000000000e+02 1.199999999999999964e-20
8.125000000000000000e+02 1.241000000000000001e-20
8.315000000000000000e+02 1.282999999999999951e-20
8.508999999999999773e+02 1.325999999999999964e-20
8.707000000000000455e+02 1.370000000000000041e-20
8.910000000000000000e+02 1.415000000000000030e-20
9.117999999999999545e+02 1.460000000000000019e-20
9.331000000000000227e+02 1.505999999999999921e-20
9.548999999999999773e+02 1.552000000000000124e-20
9.772000000000000455e+02 1.599999999999999852e-20
1.000000000000000000e+03 1.647999999999999881e-20
-----------------------


Elastic power loss /N (eV m3/s)
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000021e-02 1.383000000000000074e-22
1.022999999999999951e-02 1.447999999999999956e-22
1.047000000000000014e-02 1.517000000000000091e-22
1.072000000000000036e-02 1.588999999999999946e-22
1.097000000000000058e-02 1.663999999999999991e-22
1.122000000000000081e-02 1.743000000000000053e-22
1.148000000000000062e-02 1.825999999999999899e-22
1.175000000000000003e-02 1.911999999999999935e-22
1.203000000000000076e-02 2.003000000000000052e-22
1.230999999999999976e-02 2.097999999999999952e-22
1.260000000000000009e-02 2.197999999999999933e-22
1.289000000000000042e-02 2.301999999999999933e-22
1.319000000000000034e-02 2.411999999999999842e-22
1.349999999999999985e-02 2.526000000000000004e-22
1.380999999999999936e-02 2.647000000000000139e-22
1.413999999999999979e-02 2.773000000000000120e-22
1.447000000000000022e-02 2.905000000000000011e-22
1.480000000000000066e-02 3.043999999999999874e-22
1.515000000000000027e-02 3.189000000000000118e-22
1.549999999999999989e-02 3.340999999999999864e-22
1.585999999999999910e-02 3.501000000000000116e-22
1.623000000000000137e-02 3.667999999999999871e-22
1.660999999999999976e-02 3.844000000000000195e-22
1.700000000000000122e-02 4.028000000000000086e-22
1.739999999999999880e-02 4.221000000000000076e-22
1.779999999999999985e-02 4.423999999999999758e-22
1.822000000000000008e-02 4.636000000000000010e-22
1.864000000000000032e-02 4.859000000000000018e-22
1.907999999999999974e-02 5.092999999999999781e-22
1.951999999999999916e-02 5.338000000000000241e-22
1.998000000000000123e-02 5.595999999999999643e-22
2.044999999999999943e-02 5.865999999999999804e-22
2.092000000000000109e-02 6.148999999999999848e-22
2.140999999999999848e-02 6.446999999999999900e-22
2.190999999999999892e-02 6.758999999999999898e-22
2.241999999999999896e-02 7.086999999999999969e-22
2.295000000000000165e-02 7.431000000000000112e-22
2.348000000000000087e-02 7.792000000000000390e-22
2.402999999999999928e-02 8.171999999999999990e-22
2.459000000000000075e-02 8.570000000000000729e-22
2.517000000000000140e-02 8.988000000000000853e-22
2.574999999999999858e-02 9.428000000000000489e-22
2.634999999999999842e-02 9.889999999999999637e-22
2.697000000000000092e-02 1.036999999999999992e-21
2.759999999999999953e-02 1.088000000000000023e-21
2.824000000000000121e-02 1.142000000000000055e-21
2.889999999999999861e-02 1.198000000000000026e-21
2.957999999999999866e-02 1.256999999999999998e-21
3.026999999999999830e-02 1.318999999999999973e-21
3.097000000000000100e-02 1.385000000000000012e-21
3.169999999999999901e-02 1.452999999999999990e-21
3.243999999999999662e-02 1.525000000000000033e-21
3.318999999999999728e-02 1.600999999999999953e-21
3.397000000000000020e-02 1.680999999999999938e-21
3.475999999999999923e-02 1.764999999999999988e-21
3.556999999999999745e-02 1.852999999999999915e-21
3.640000000000000180e-02 1.946000000000000159e-21
3.724999999999999839e-02 2.042999999999999903e-21
3.812000000000000111e-02 2.146000000000000028e-21
3.901000000000000301e-02 2.254000000000000092e-21
3.991999999999999715e-02 2.367000000000000097e-21
4.084999999999999742e-02 2.486000000000000105e-21
4.180999999999999994e-02 2.612000000000000181e-21
4.277999999999999858e-02 2.743999999999999883e-21
4.377999999999999947e-02 2.883000000000000029e-21
4.479999999999999954e-02 3.028999999999999865e-21
4.585000000000000187e-02 3.182999999999999832e-21
4.692000000000000337e-02 3.344999999999999929e-21
4.800999999999999712e-02 3.514999999999999779e-21
4.913000000000000006e-02 3.694999999999999887e-21
5.027999999999999831e-02 3.882999999999999748e-21
5.145000000000000268e-02 4.081000000000000243e-21
5.265999999999999848e-02 4.289999999999999929e-21
5.387999999999999734e-02 4.509000000000000248e-21
5.514000000000000151e-02 4.739999999999999821e-21
5.643000000000000099e-02 4.982000000000000091e-21
5.775000000000000272e-02 5.236999999999999679e-21
5.908999999999999669e-02 5.505000000000000090e-21
6.047000000000000292e-02 5.786999999999999882e-21
6.187999999999999751e-02 6.081999999999999745e-21
6.332999999999999741e-02 6.392999999999999868e-21
6.481000000000000649e-02 6.719000000000000188e-21
6.632000000000000395e-02 7.060999999999999264e-21
6.786999999999999977e-02 7.420999999999999479e-21
6.944999999999999785e-02 7.798000000000000017e-21
7.106999999999999429e-02 8.193000000000000191e-21
7.273000000000000298e-02 8.606999999999999309e-21
7.442999999999999616e-02 9.040999999999999694e-21
7.617000000000000159e-02 9.494999999999999840e-21
7.793999999999999539e-02 9.970999999999999873e-21
7.975999999999999757e-02 1.047000000000000061e-20
8.162999999999999423e-02 1.099000000000000042e-20
8.352999999999999314e-02 1.152999999999999999e-20
8.548000000000000043e-02 1.209999999999999995e-20
8.747000000000000608e-02 1.268999999999999968e-20
8.952000000000000235e-02 1.330999999999999980e-20
9.160999999999999699e-02 1.394999999999999968e-20
9.374000000000000388e-02 1.460999999999999932e-20
9.593000000000000138e-02 1.531000000000000149e-20
9.816999999999999338e-02 1.602999999999999891e-20
1.005000000000000060e-01 1.677999999999999974e-20
1.028000000000000025e-01 1.754999999999999882e-20
1.052000000000000018e-01 1.835000000000000130e-20
1.077000000000000041e-01 1.918000000000000117e-20
1.102000000000000063e-01 2.004000000000000143e-20
1.126999999999999946e-01 2.092999999999999908e-20
1.154000000000000026e-01 2.184000000000000100e-20
1.180999999999999966e-01 2.278000000000000031e-20
1.208000000000000046e-01 2.374000000000000089e-20
1.236000000000000015e-01 2.472999999999999884e-20
1.265000000000000013e-01 2.575000000000000021e-20
1.295000000000000040e-01 2.678999999999999982e-20
1.325000000000000067e-01 2.786000000000000284e-20
1.355999999999999983e-01 2.894999999999999810e-20
1.388000000000000067e-01 3.005999999999999764e-20
1.419999999999999873e-01 3.120000000000000058e-20
1.453000000000000125e-01 3.236000000000000177e-20
1.486999999999999988e-01 3.354000000000000122e-20
1.522000000000000020e-01 3.473999999999999893e-20
1.557000000000000051e-01 3.596000000000000091e-20
1.593999999999999861e-01 3.719000000000000202e-20
1.630999999999999950e-01 3.845000000000000052e-20
1.668999999999999928e-01 3.971999999999999814e-20
1.708000000000000074e-01 4.101000000000000004e-20
1.748000000000000109e-01 4.231000000000000107e-20
1.789000000000000035e-01 4.363000000000000035e-20
1.829999999999999960e-01 4.496999999999999789e-20
1.872999999999999943e-01 4.632000000000000058e-20
1.917000000000000093e-01 4.769000000000000152e-20
1.960999999999999965e-01 4.907000000000000159e-20
2.006999999999999895e-01 5.046000000000000079e-20
2.053999999999999992e-01 5.187999999999999738e-20
2.101999999999999980e-01 5.329999999999999998e-20
2.151000000000000134e-01 5.473999999999999482e-20
2.200999999999999901e-01 5.619999999999999996e-20
2.253000000000000003e-01 5.766999999999999820e-20
2.305000000000000104e-01 5.915999999999999470e-20
2.358999999999999986e-01 6.067000000000000150e-20
2.414000000000000035e-01 6.219000000000000140e-20
2.470999999999999863e-01 6.372999999999999956e-20
2.528000000000000247e-01 6.530000000000000113e-20
2.586999999999999855e-01 6.687999999999999580e-20
2.647999999999999798e-01 6.849000000000000592e-20
2.708999999999999742e-01 7.010999999999999710e-20
2.772999999999999909e-01 7.176000000000000373e-20
2.837000000000000077e-01 7.344000000000000173e-20
2.903999999999999915e-01 7.513000000000000487e-20
2.970999999999999752e-01 7.686000000000000452e-20
3.040999999999999814e-01 7.861000000000000243e-20
3.111999999999999766e-01 8.039000000000000374e-20
3.184000000000000163e-01 8.221000000000000157e-20
3.259000000000000230e-01 8.404999999999999765e-20
3.335000000000000187e-01 8.591999999999999714e-20
3.412000000000000033e-01 8.783000000000000518e-20
3.492000000000000104e-01 8.977999999999999769e-20
3.573999999999999955e-01 9.176000000000000564e-20
3.657000000000000250e-01 9.377999999999999807e-20
3.741999999999999771e-01 9.583999999999999905e-20
3.830000000000000071e-01 9.793999999999999655e-20
3.919000000000000261e-01 1.001000000000000008e-19
4.011000000000000121e-01 1.023000000000000017e-19
4.103999999999999870e-01 1.045000000000000025e-19
4.199999999999999845e-01 1.067999999999999946e-19
4.298000000000000154e-01 1.091000000000000107e-19
4.398000000000000242e-01 1.114999999999999941e-19
4.501000000000000001e-01 1.139000000000000016e-19
4.606000000000000094e-01 1.163999999999999883e-19
4.713999999999999857e-01 1.188999999999999990e-19
4.823999999999999955e-01 1.215999999999999924e-19
4.935999999999999832e-01 1.242000000000000065e-19
5.050999999999999934e-01 1.270000000000000031e-19
5.169000000000000261e-01 1.297999999999999998e-19
5.290000000000000258e-01 1.325999999999999964e-19
5.413000000000000034e-01 1.354999999999999964e-19
5.540000000000000480e-01 1.386000000000000030e-19
5.668999999999999595e-01 1.416000000000000063e-19
5.800999999999999490e-01 1.447999999999999922e-19
5.937000000000000055e-01 1.481000000000000054e-19
6.075000000000000400e-01 1.513999999999999946e-19
6.217000000000000304e-01 1.548000000000000112e-19
6.361999999999999877e-01 1.584000000000000103e-19
6.511000000000000121e-01 1.620000000000000095e-19
6.663000000000000034e-01 1.657000000000000119e-19
6.817999999999999616e-01 1.695999999999999970e-19
6.976999999999999869e-01 1.736000000000000094e-19
7.139999999999999680e-01 1.775999999999999977e-19
7.307000000000000162e-01 1.818999999999999960e-19
7.477000000000000313e-01 1.861999999999999943e-19
7.651999999999999913e-01 1.906999999999999993e-19
7.830000000000000293e-01 1.954000000000000109e-19
8.013000000000000123e-01 2.002000000000000017e-19
8.199999999999999512e-01 2.051999999999999992e-19
8.391999999999999460e-01 2.102999999999999999e-19
8.588000000000000078e-01 2.157000000000000107e-19
8.788000000000000256e-01 2.211999999999999766e-19
8.992999999999999883e-01 2.269000000000000214e-19
9.203000000000000069e-01 2.328999999999999798e-19
9.417999999999999705e-01 2.390999999999999931e-19
9.637999999999999901e-01 2.456000000000000163e-19
9.862999999999999545e-01 2.522999999999999979e-19
1.008999999999999897e+00 2.592999999999999896e-19
1.032999999999999918e+00 2.664999999999999879e-19
1.056999999999999940e+00 2.740999999999999994e-19
1.082000000000000073e+00 2.820000000000000209e-19
1.106999999999999984e+00 2.902000000000000043e-19
1.133000000000000007e+00 2.988000000000000009e-19
1.159000000000000030e+00 3.078000000000000108e-19
1.185999999999999943e+00 3.171999999999999858e-19
1.213999999999999968e+00 3.269000000000000189e-19
1.241999999999999993e+00 3.371000000000000205e-19
1.270999999999999908e+00 3.476999999999999872e-19
1.300999999999999934e+00 3.588000000000000187e-19
1.330999999999999961e+00 3.704000000000000186e-19
1.362000000000000099e+00 3.824999999999999869e-19
1.393999999999999906e+00 3.951000000000000200e-19
1.427000000000000046e+00 4.082000000000000216e-19
1.459999999999999964e+00 4.217999999999999916e-19
1.493999999999999995e+00 4.360000000000000297e-19
1.528999999999999915e+00 4.508000000000000395e-19
1.564999999999999947e+00 4.661999999999999730e-19
1.600999999999999979e+00 4.822000000000000226e-19
1.637999999999999901e+00 4.986999999999999926e-19
1.677000000000000046e+00 5.157999999999999825e-19
1.715999999999999970e+00 5.334999999999999923e-19
1.756000000000000005e+00 5.518000000000000221e-19
1.796999999999999931e+00 5.707999999999999787e-19
1.838999999999999968e+00 5.902999999999999520e-19
1.881999999999999895e+00 6.104000000000000415e-19
1.925999999999999934e+00 6.310999999999999583e-19
1.971000000000000085e+00 6.522999999999999880e-19
2.016999999999999904e+00 6.741000000000000377e-19
2.064000000000000057e+00 6.965000000000000109e-19
2.112000000000000099e+00 7.194000000000000008e-19
2.161000000000000032e+00 7.427000000000000039e-19
2.212000000000000188e+00 7.666000000000000270e-19
2.262999999999999901e+00 7.909999999999999703e-19
2.315999999999999837e+00 8.158000000000000232e-19
2.370000000000000107e+00 8.409999999999999931e-19
2.424999999999999822e+00 8.665999999999999763e-19
2.482000000000000206e+00 8.925999999999999728e-19
2.540000000000000036e+00 9.188999999999999792e-19
2.599000000000000199e+00 9.455000000000000919e-19
2.660000000000000142e+00 9.725000000000000253e-19
2.721999999999999975e+00 9.996999999999999653e-19
2.785000000000000142e+00 1.027000000000000005e-18
2.850000000000000089e+00 1.054999999999999971e-18
2.916999999999999815e+00 1.082999999999999938e-18
2.984999999999999876e+00 1.110999999999999905e-18
3.055000000000000160e+00 1.139000000000000064e-18
3.125999999999999890e+00 1.167000000000000030e-18
3.198999999999999844e+00 1.194999999999999997e-18
3.274000000000000021e+00 1.223999999999999997e-18
3.350000000000000089e+00 1.251999999999999963e-18
3.427999999999999936e+00 1.280999999999999963e-18
3.508000000000000007e+00 1.308999999999999930e-18
